tract,school_district,sd_language1,sd_language2,sd_language3,sd_language4,sd_language5,school_district2,sd2_language1,sd2_language2,sd2_language3,sd2_language4,sd2_language5,community_center,community_center2,population,people_of_color_population,per_cap_income,white,black,american_indian,asian,pacific_islander,some_other_race,two_ormore_races,total_hispanic,male,female,age0_4,age0_17,age18_plus,age65_plus,english,spanish,french_haitian_cajun,german,russian_polish_slavic,other_indoeuro,korean,chinese_mandarinorcantonese,vietnamese,tagalog,other_asian_pacificisland,arabic,other,total_non_english
53033022805,Cherry Crest,Telugu,Chinese-Mandarin,Chinese-Unspecified,Hindi,Tamil,Ardmore,Spanish,Telugu,Hindi,Tamil,Russian,North Bellevue Community Center,Highland Community Center,3790,1929,80231,1940,107,0,1605,0,0,138,79,2036,1754,333,836,2954,512,1692,77,42,26,109,303,0,217,180,0,730,14,67,1765
53033022804,Ardmore,Spanish,Telugu,Hindi,Tamil,Russian,n/a,n/a,n/a,n/a,n/a,n/a,North Bellevue Community Center,Highland Community Center,5258,3420,57089,2132,161,89,2427,49,45,355,338,2784,2474,352,810,4448,331,1892,271,147,80,187,920,29,298,30,44,868,86,54,3014
53033023701,Cherry Crest,Telugu,Chinese-Mandarin,Chinese-Unspecified,Hindi,Tamil,n/a,n/a,n/a,n/a,n/a,n/a,Highland Community Center,Norhtwest Arts Center,4670,1930,84374,2793,70,0,1483,0,147,177,226,2338,2332,210,947,3723,799,3105,187,9,32,19,223,49,471,18,0,170,0,177,1355
53033024001,Clyde Hill,Chinese-Mandarin,Korean,Chinese-Unspecified,Hindi,Telugu,n/a,n/a,n/a,n/a,n/a,n/a,Northwest Arts Center,n/a,3927,1820,91900,2132,0,0,1672,0,81,42,58,2141,1786,158,844,3083,588,2055,44,0,23,71,494,212,853,0,0,17,0,0,1714
53033023702,Wilburton,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,Stevenson,Spanish,Telugu,Hindi,Tamil,Marathi,Highland Community Center,Northwest Arts Center,377,329,87274,50,25,0,302,0,0,0,2,203,174,74,83,294,12,79,2,0,0,0,91,0,49,0,21,36,0,25,224
53033024002,Medina,Chinese-Mandarin,Chinese-Unspecified,Korean,Russian,Spanish,Clyde Hill,Chinese-Mandarin,Korean,Chinese-Unspecified,Hindi,Telugu,Northwest Arts Center,n/a,3831,2004,94851,1906,75,0,1715,0,3,132,82,1987,1844,257,930,2901,486,1926,56,61,21,18,328,279,706,13,0,151,0,15,1648
53033023805,Wilburton,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,n/a,n/a,n/a,n/a,n/a,n/a,Northwest Arts Center ,n/a,3211,1834,98009,1441,20,0,1414,15,21,300,85,1622,1589,148,447,2764,485,1624,44,0,0,189,82,137,236,90,0,641,0,20,1439
53033023806,Wilburton,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,n/a,n/a,n/a,n/a,n/a,n/a,Northwest Arts Center,n/a,3219,1469,87839,1815,54,0,1228,0,57,65,122,1868,1351,190,220,2999,647,1421,68,27,52,114,511,53,338,25,11,395,0,14,1608
53033023807,Wilburton,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,n/a,n/a,n/a,n/a,n/a,n/a,Northwest Arts Center,n/a,5589,2603,129922,3118,270,16,2105,0,0,80,155,2867,2722,129,355,5234,768,3282,58,30,45,293,425,99,481,37,17,635,0,58,2178
53033023808,Wilburton,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,n/a,n/a,n/a,n/a,n/a,n/a,Northwest Arts Center,n/a,2482,1377,101844,1169,66,55,1067,0,0,125,64,1218,1264,56,198,2284,51,1389,27,0,0,73,300,36,377,0,18,143,17,46,1037
53033023601,Wilburton,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,n/a,n/a,n/a,n/a,n/a,n/a,Highland Community Center,n/a,4452,2474,82973,2112,167,0,1906,0,126,141,246,2209,2243,305,747,3705,551,2186,159,58,5,118,182,35,615,83,0,616,21,69,1961
